,City,Cloudiness ,Country ,Date,Humidity ,Lat,Lng,Max Temp,Wind Speed
0,bintulu,75,my,1561622056,74,3.17,113.03,31.0,5.1
1,gat,40,ly,1561622056,88,14.69,-16.54,25.0,4.1
2,cherskiy,36,ru,1561622057,53,68.75,161.3,10.16,8.42
3,airai,33,pw,1561622057,64,-8.93,125.41,22.76,1.56
4,high prairie,11,ca,1561622057,89,55.43,-116.48,9.26,1.32
5,vaini,75,to,1561621496,74,15.34,74.49,26.0,6.2
6,arraial do cabo,100,br,1561621542,82,-22.97,-42.02,22.96,2.44
7,deputatskiy,0,ru,1561621573,21,69.3,139.9,22.06,5.56
8,yellowknife,75,ca,1561621512,81,62.45,-114.38,9.0,7.7
9,ushuaia,90,ar,1561621507,100,-54.81,-68.31,-2.0,12.9
10,kruisfontein,0,za,1561621600,44,-34.0,24.73,18.46,5.39
11,hermanus,100,za,1561621499,68,-34.42,19.24,14.44,2.24
12,cape town,0,za,1561621858,100,-33.93,18.42,17.22,2.6
13,sept-iles,90,ca,1561621923,93,50.2,-66.38,12.78,5.1
14,hasaki,75,jp,1561621522,74,35.73,140.83,27.0,7.2
15,chakia,100,in,1561622060,30,26.42,85.05,40.26,3.47
16,nome,40,us,1561621614,88,30.04,-94.42,27.78,1.5
17,saskylakh,0,ru,1561621530,28,71.97,114.09,16.96,5.05
18,kathu,51,th,1561622061,79,-27.7,23.05,12.78,1.34
19,kapaa,90,us,1561621537,88,22.08,-159.32,26.0,4.6
20,jamestown,1,sh,1561621508,60,-33.21,138.6,14.36,5.66
21,kiama,20,au,1561622062,76,-34.67,150.86,16.67,2.1
22,samoded,99,ru,1561622063,47,63.61,40.52,18.06,3.4
23,iqaluit,20,ca,1561621515,86,63.75,-68.52,5.0,1.0
24,bosaso,0,so,1561622064,37,11.28,49.18,37.0,14.4
25,mount isa,76,au,1561622064,31,-20.73,139.49,25.0,2.6
26,mataura,36,pf,1561621499,90,-46.19,168.86,10.0,1.34
27,strezhevoy,90,ru,1561621910,81,60.73,77.6,12.0,3.0
28,ban nahin,100,la,1561622065,86,18.24,104.21,28.56,1.94
29,merrill,90,us,1561622065,66,42.03,-121.6,10.0,1.5
30,saint-philippe,90,re,1561621552,93,45.36,-73.48,20.0,2.1
31,thinadhoo,13,mv,1561622066,68,0.53,72.93,29.16,2.61
